Query ID   Q0         Document Name                                                                    Rank       Cosine Similarity Score                  System Name         
3          Q0         S:\Raw_files\DrakeLandingSolarCommunity.txt                                      59         0.15699898                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\BatteryElectricVehicle.txt                                          60         0.15638831                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\PassiveHouse.txt                                                    61         0.1546649                                Shantanu-SYS-001    
3          Q0         S:\Raw_files\MinimumEnergyPerformanceStandard.txt                                62         0.15343612                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\GeothermalPower.txt                                                 63         0.15290737                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\EfficientEnergyUse.txt                                              64         0.1510576                                Shantanu-SYS-001    
3          Q0         S:\Raw_files\Desalination.txt                                                    65         0.14972714                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\IntermittentEnergySource.txt                                        66         0.14811921                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\PassiveSolarBuildingDesign.txt                                      67         0.14771777                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\RenewableEnergyInLithuania.txt                                      68         0.14581756                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\RenewableEnergyInAlbania.txt                                        69         0.14457312                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\RenewableEnergyInPakistan.txt                                       70         0.14457312                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\JointBioenergyInstitute.txt                                         71         0.14369223                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\GeothermalEnergy.txt                                                72         0.14290293                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\GreenBank.txt                                                       73         0.14266674                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\HydrogenVehicle.txt                                                 74         0.138527                                 Shantanu-SYS-001    
3          Q0         S:\Raw_files\SolarLamp.txt                                                       75         0.13746065                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\RenewableEnergyInIndia.txt                                          76         0.13318273                               Shantanu-SYS-001    
3          Q0         S:\Raw_files\RenewableEnergyInThailand.txt                                       77         0.13148004                               Shantanu-SYS-001    
